Message,Period,Time,Slot,Subject,Group,CTR,Revenue,Bid,VFC,Cost,Payoff
sync_net,1,18:18:56,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:18:56,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:18:56,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:18:56,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:18:57,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:18:57,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:18:57,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:18:57,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:18:58,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:18:58,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:18:58,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:18:58,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:18:58,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:18:58,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:18:58,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:18:58,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:18:59,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:18:59,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:18:59,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:18:59,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:18:59,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:18:59,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:18:59,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:18:59,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:00,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:00,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:00,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:00,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:01,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:01,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:01,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:01,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:01,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:01,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:01,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:01,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:02,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:02,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:02,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:02,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:02,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:02,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:02,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:02,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:03,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:03,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:03,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:03,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:03,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:03,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:03,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:03,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:04,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:04,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:04,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:04,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:04,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:04,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:04,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:04,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:05,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:05,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:05,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:05,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:06,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:06,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:06,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:06,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:06,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:06,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:06,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:06,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:07,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:07,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:07,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:07,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:07,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:07,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:07,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:07,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:08,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:08,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:08,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:08,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:08,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:08,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:08,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:08,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:09,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:09,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:09,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:09,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:10,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:10,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:10,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:10,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:10,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:10,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:10,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:10,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:11,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:11,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:11,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:11,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:11,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:11,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:11,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:11,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:12,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:12,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:12,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:12,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:13,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:13,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:13,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
